order_id,date,month,month_num,quarter,category,product,state,city,quantity,unit_price,discount_pct,revenue,profit,channel,payment,device,returned,rating,cost
ORD10001,2024-07-25,July,7,Q3,Beauty,Moisturiser,Telangana,Hyderabad,2,337,5,640.3,240.3,Organic Search,UPI,Mobile,0,4,400
ORD10002,2024-11-15,November,11,Q4,Books,Data Science Book,Telangana,Hyderabad,1,863,15,733.55,233.55,Social Media,Net Banking,Desktop,0,4,500
ORD10003,2024-04-01,April,4,Q2,Groceries,Dry Fruits 500g,West Bengal,Kolkata,1,655,15,556.75,206.75,Organic Search,Credit Card,Mobile,0,1,350
ORD10004,2024-04-14,April,4,Q2,Beauty,Face Serum,Haryana,Gurugram,2,803,10,1445.4,845.4,Paid Ad,Debit Card,Tablet,0,3,600
ORD10005,2024-03-23,March,3,Q1,Books,UPSC Guide,Uttar Pradesh,Bareilly,4,485,25,1455.0,-145.0,Referral,UPI,Mobile,0,5,1600
ORD10006,2024-08-02,August,8,Q3,Electronics,Earbuds,Haryana,Gurugram,1,1496,0,1496.0,296.0,Direct,UPI,Mobile,0,3,1200
ORD10007,2024-01-29,January,1,Q1,Fashion,Saree,Rajasthan,Jaipur,1,2975,20,2380.0,1180.0,Paid Ad,Credit Card,Desktop,1,3,1200
ORD10008,2024-11-03,November,11,Q4,Fashion,Kurta Set,Uttar Pradesh,Bareilly,4,787,0,3148.0,748.0,Paid Ad,UPI,Tablet,0,5,2400
ORD10009,2024-10-14,October,10,Q4,Home & Kitchen,Bedsheet Set,Odisha,Bhubaneswar,1,679,20,543.2,143.2,Organic Search,Cash on Delivery,Mobile,0,4,400
ORD10010,2024-01-06,January,1,Q1,Groceries,Dry Fruits 500g,Kerala,Kochi,1,495,10,445.5,95.5,Social Media,Net Banking,Mobile,0,4,350
ORD10011,2024-02-17,February,2,Q1,Fashion,Jeans,Haryana,Gurugram,1,1643,20,1314.4,514.4,Email Campaign,Net Banking,Mobile,0,3,800
ORD10012,2024-06-08,June,6,Q2,Electronics,Smartwatch,Kerala,Kochi,2,5135,5,9756.5,2756.5,Referral,Debit Card,Mobile,0,5,7000
